===== MAIgnus_CAIrlsen Started at Wed 04/30/2025 17:30:52.84  ===== 
Running MAIgnus_CAIrlsen chess analysis bot... 
[2025-04-30 17:30:55.044784] [ROCKET] Starting MAIgnus_CAIrlsen full workflow...
[2025-04-30 17:30:55.045800] [INBOX] Checking for new games on Chess.com...
[2025-04-30 17:30:55.471967] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_27b0de6d091d65aad72c095eae9cf4f6.pgn
[2025-04-30 17:30:55.472496] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_14857f1fa52981565def0379ead49123.pgn
[2025-04-30 17:30:55.473188] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_ddf6a29f5f1efc304ca48eb323082864.pgn
[2025-04-30 17:30:55.492800] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_2ba5706dd203ddc284403ca1d73e8abf.pgn
[2025-04-30 17:30:55.493805] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_43e2c612d823cf8bab6a034e849b8283.pgn
[2025-04-30 17:30:55.494065] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_36344ee60692e36afcc1b565bd70b25a.pgn
[2025-04-30 17:30:55.494703] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_5ef879944bbf5d14bc3c32c7415d15c4.pgn
[2025-04-30 17:30:55.494936] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_16f04509aac39f6447eab4a64a91ba63.pgn
[2025-04-30 17:30:55.495167] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_d8667c56660d190b3af28b39621d2831.pgn
[2025-04-30 17:30:55.495525] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_725c9c85c76f7e30c666e7db84a6896a.pgn
[2025-04-30 17:30:55.495874] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_189ba3226e9a94f4985b276c66e9c912.pgn
[2025-04-30 17:30:55.496234] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_538e83bdbf7e268c4bd3e2617c38f723.pgn
[2025-04-30 17:30:55.496748] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_b1aa9cb7ad6608dfc42faa8cb697ade0.pgn
[2025-04-30 17:30:55.496961] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_633524050baa996d766b9c63f1030b77.pgn
[2025-04-30 17:30:55.497164] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_e61f5fc5db1ef48107aa525b59d0ee29.pgn
[2025-04-30 17:30:55.497435] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_993ef1d17dc55a869a38e15f3a16ef55.pgn
[2025-04-30 17:30:55.497764] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_b20a413c73877f616248c75a07f82cd7.pgn
[2025-04-30 17:30:55.497975] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_fa814317906e0ea0a38b0a7100564243.pgn
[2025-04-30 17:30:55.498285] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_e0093a5b8ed77d92b18662d80c922b66.pgn
[2025-04-30 17:30:55.498491] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_cd1eb9c617c2dd31f6075dd142a8e85b.pgn
[2025-04-30 17:30:55.498815] Already exists: C:\Users\seanr\MAIgnus_CAIrlsen\data\seanr87_6c4c167e03b911db1f0ce208a49467cb.pgn
